Автономная некоммерческая организация "Институт перспективных научных исследований";Autonomous non-profit organization "Institute for Advanced Scientific Research"
Байкальский музей Иркутского научного центра Сибирского отделения Российской академии наук;Baikal Museum of the Irkutsk Scientific Center of the Siberian Branch of the Russian Academy of Sciences
Балтийский государственный технический университет "ВОЕНМЕХ" им. Д.Ф. Устинова;D.F. Ustinov Baltic State Technical University "VOENMEKH".
Балтийский федеральный университет имени Иммануила Канта;Immanuel Kant Baltic Federal University
Башкирский государственный университет;Bashkir State University
Башкирский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Bashkir Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Белгородский государственный национальный исследовательский университет;Belgorod State National Research University
Белгородский государственный технологический университет им. В.Г. Шухова;Belgorod State Technological University named after V.G. Shukhov
Белгородский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Belgorod Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Белгородский федеральный аграрный научный центр Российской академии наук;Belgorod Federal Agrarian Scientific Center of the Russian Academy of Sciences
Белорусско-Российский университет;Belarusian-Russian University
Библиотека по естественным наукам Российской академии наук;Library of Natural Sciences of the Russian Academy of Sciences
Биолого-почвенный институт Дальневосточного отделения Российской академии наук;Biological and Soil Institute of the Far Eastern Branch of the Russian Academy of Sciences
Бирючекутская овощная селекционная опытная станция Всероссийского научно-исследовательского института овощеводства Российской академии сельскохозяйственных наук;Biryuchekutskaya Vegetable Breeding Experimental Station of the All-Russian Research Institute of Vegetable Breeding of the Russian Academy of Agricultural Sciences
Богдинская научно-исследовательская агролесомелиоративная опытная станция им. М.А. Орлова Всероссийского научно-исследовательского института агролесомелиорации Российской академии сельскохозяйственных наук;Bogdinsky Research Agroforestry Experimental Station named after M.A. Orlov of the All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Ботанический институт им. В.Л. Комарова Российской академии наук;V.L. Komarov Botanical Institute of the Russian Academy of Sciences
Ботанический сад Уральского отделения Российской академии наук;Botanical Garden of the Ural Branch of the Russian Academy of Sciences
Ботанический сад-институт Дальневосточного отделения Российской академии наук;Botanical Garden-Institute of the Far Eastern Branch of the Russian Academy of Sciences
Братский государственный университет;Bratsk State University
Брянский государственный инженерно-технологический университет;Bryansk State University of Engineering and Technology
Брянский государственный технический университет;Bryansk State Technical University
Брянский государственный университет имени академика И.Г. Петровского;Bryansk State University named after Academician I.G. Petrovsky
Бурятский государственный университет;Buryat State University
Бурятский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Buryat Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Быковская бахчевая селекционная опытная станция Всероссийского научно-исследовательского института овощеводства Российской академии сельскохозяйственных наук;Bykovskaya melon breeding experimental station of the All-Russian Research Institute of Vegetable Growing of the Russian Academy of Agricultural Sciences
Верхневолжский федеральный аграрный научный центр;Verkhnevolzhsky Federal Agrarian Scientific Center
Владивостокский государственный университет экономики и сервиса;Vladivostok State University of Economics and Service
Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;Alexander Grigorievich and Nikolai Grigorievich Stoletov Vladimir State University
Владимирский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Vladimir Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Волгоградская опытная станция Всероссийского научно-исследовательского института растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;Volgograd Experimental Station of the All-Russian Research Institute of Plant Industry named after N.I. Vavilov of the Russian Academy of Agricultural Sciences
Волгоградский государственный технический университет;Volgograd State Technical University
Волгоградский государственный университет;Volgograd State University
Вологодский государственный университет;Vologda State University
Вологодский научный центр Российской академии наук;Vologda Scientific Center of the Russian Academy of Sciences
Воронежская овощная опытная станция Всероссийского научно-исследовательского института овощеводства Российской академии сельскохозяйственных наук;Voronezh Vegetable Experimental Station of the All-Russian Research Institute of Vegetable Growing of the Russian Academy of Agricultural Sciences
Воронежская опытная станция по многолетним травам Всероссийского научно-исследовательского института кормов имени В.Р. Вильямса Российской академии сельскохозяйственных наук;Voronezh Experimental Station on Perennial Grasses of the All-Russian Research Institute of Forages named after V.R. Williams of the Russian Academy of Agricultural Sciences
Воронежский государственный лесотехнический университет имени Г.Ф. Морозова;Voronezh State Forest Engineering University named after G.F. Morozov
Воронежский государственный технический университет;Voronezh State Technical University
Воронежский государственный университет;Voronezh State University
Воронежский государственный университет инженерных технологий;Voronezh State University of Engineering Technologies
Воронежский научно-исследовательский институт сельского хозяйства имени В.В. Докучаева Российской академии сельскохозяйственных наук;Voronezh Research Institute of Agriculture named after V.V. Dokuchaev of the Russian Academy of Agricultural Sciences. Dokuchaev Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Восточно-Сибирский государственный университет технологий и управления;East Siberian State University of Technology and Management
Восточно-Сибирский институт медико-экологических исследований;East Siberian Institute for Medical and Environmental Research
Всероссийский институт аграрных проблем и информатики имени А.А. Никонова Российской академии сельскохозяйственных наук;A.A. Nikonov All-Russian Institute of Agrarian Problems and Informatics of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский ветеринарный институт патологии, фармакологии и терапии Российской академии сельскохозяйственных наук;All-Russian Research Veterinary Institute of Pathology, Pharmacology and Therapeutics of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский ветеринарный институт птицеводства Российской академии сельскохозяйственных наук;All-Russian Research Veterinary Institute of Poultry Breeding of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский и технологический институт биологической промышленности Российской академии сельскохозяйственных наук;All-Russian Research and Technological Institute of Biological Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский и технологический институт птицеводства Российской академии сельскохозяйственных наук;All-Russian Research and Technological Institute of Poultry Breeding of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт авиационных материалов;All-Russian Research Institute of Aviation Materials
Всероссийский научно-исследовательский институт агролесомелиорации Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт агрохимии имени Д.Н. Прянишникова Российской академии сельскохозяйственных наук;D.N. Pryanishnikov All-Russian Research Institute of Agrochemistry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт биологической защиты растений Российской академии сельскохозяйственных наук;All-Russian Research Institute of Biological Plant Protection of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт ветеринарной вирусологии и микробиологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Veterinary Virology and Microbiology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт ветеринарной санитарии, гигиены и экологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Veterinary Sanitation, Hygiene and Ecology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт ветеринарной энтомологии и арахнологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Veterinary Entomology and Arachnology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт виноградарства и виноделия имени Я.И. Потапенко Российской академии сельскохозяйственных наук;All-Russian Research Institute of Viticulture and Winemaking named after Y.I. Potapenko of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт гельминтологии им. К.И. Скрябина Российской академии сельскохозяйственных наук;All-Russian Research Institute of Helminthology named after K.I. Skryabin of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт генетики и разведения сельскохозяйственных животных Российской академии сельскохозяйственных наук;All-Russian Research Institute of Genetics and Breeding of Farm Animals of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт генетики и селекции плодовых растений имени И.В. Мичурина Российской академии сельскохозяйственных наук;I.V. Michurin All-Russian Research Institute of Genetics and Breeding of Fruit Plants of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт животноводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Animal Husbandry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт жиров Российской академии сельскохозяйственных наук;All-Russian Research Institute of Fats of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт защиты растений Российской академии сельскохозяйственных наук;All-Russian Research Institute of Plant Protection of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт земледелия и защиты почв от эрозии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Farming and Soil Erosion Protection of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт зерна и продуктов его переработки Российской академии сельскохозяйственных наук;All-Russian Research Institute of Grain and Grain Products of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт зернобобовых и крупяных культур Российской академии сельскохозяйственных наук;All-Russian Research Institute of Grain Legumes and Cereals of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт зерновых культур имени И.Г. Калиненко Российской академии сельскохозяйственных наук;I.G. Kalinenko All-Russian Research Institute of Grain Crops of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт ирригационного рыбоводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Irrigation Fish Farming of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт использования техники и нефтепродуктов Российской академии сельскохозяйственных наук;All-Russian Research Institute for the Use of Machinery and Petroleum Products of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт картофельного хозяйства им. А.Г. Лорха Российской академии сельскохозяйственных наук;A.G. Lorkh All-Russian Potato Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт коневодства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Horse Breeding of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт консервной и овощесушильной промышленности Российской академии сельскохозяйственных наук;All-Russian Research Institute of Canning and Vegetable Processing Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт кормов имени В.Р. Вильямса Российской академии сельскохозяйственных наук;All-Russian Research Institute of Forages named after V.R. Williams of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт крахмалопродуктов Российской академии сельскохозяйственных наук;All-Russian Research Institute of Starch Products of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт кукурузы Российской академии сельскохозяйственных наук;All-Russian Maize Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт лекарственных и ароматических растений Российской академии сельскохозяйственных наук;All-Russian Research Institute of Medicinal and Aromatic Plants of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт льна Российской академии сельскохозяйственных наук;All-Russian Flax Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт люпина Российской академии сельскохозяйственных наук;All-Russian Lupine Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт масличных культур имени B.C. Пустовойта Российской академии сельскохозяйственных наук;All-Russian Research Institute of Oilseeds named after B.C. Pustovoit of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт маслоделия и сыроделия Российской академии сельскохозяйственных наук;All-Russian Research Institute of Butter and Cheese Making of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт метрологии им. Д.И. Менделеева;All-Russian Research Institute of Metrology named after D.I. Mendeleev
Всероссийский научно-исследовательский институт механизации агрохимического обслуживания сельского хозяйства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Mechanization of Agrochemical Service for Agriculture of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт механизации животноводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Mechanization of Animal Husbandry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт механизации льноводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Mechanization of Flax Production of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт механизации сельского хозяйства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Mechanization of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт молочной промышленности Российской академии сельскохозяйственных наук;All-Russian Research Institute of Dairy Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт мясного скотоводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Meat Cattle Breeding of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт мясной промышленности имени В.М. Горбатова Российской академии сельскохозяйственных наук;All-Russian Research Institute of Meat Industry named after V.M. Gorbatov of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт овощеводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Vegetable Growing of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт организации производства, труда и управления в сельском хозяйстве Российской академии сельскохозяйственных наук;All-Russian Research Institute of Production Organization, Labor and Management in Agriculture of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт органических удобрений и торфа Российской академии сельскохозяйственных наук;All-Russian Research Institute of Organic Fertilizers and Peat of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт орошаемого земледелия Российской академии сельскохозяйственных наук;All-Russian Research Institute of Irrigated Agriculture of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт орошаемого овощеводства и бахчеводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Irrigated Vegetable and Melon Growing of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт охотничьего хозяйства и звероводства имени профессора Б.М. Житкова Российской академии сельскохозяйственных наук;All-Russian Research Institute of Hunting and Animal Breeding named after Prof. B.M. Zhitkov of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт пантового оленеводства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Antler Reindeer Husbandry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт пивоваренной, безалкогольной и винодельческой промышленности Российской академии сельскохозяйственных наук;All-Russian Research Institute of Brewing, Non-Alcoholic and Wine Industries of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт пищевой биотехнологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Food Biotechnology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт пищевых ароматизаторов, кислот и красителей Российской академии сельскохозяйственных наук;All-Russian Research Institute of Food Flavorings, Acids and Dyes of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт птицеперерабатывающей промышленности Российской академии сельскохозяйственных наук;All-Russian Research Institute of Poultry Processing Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт рапса Российской академии сельскохозяйственных наук;All-Russian Rapeseed Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;N.I. Vavilov All-Russian Research Institute of Plant Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт риса Российской академии сельскохозяйственных наук;All-Russian Rice Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт садоводства имени И.В. Мичурина Российской академии сельскохозяйственных наук;I.V. Michurin All-Russian Research Institute of Horticulture of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сахарной свеклы имени А.Л. Мазлумова Российской академии сельскохозяйственных наук;A.L. Mazlumov All-Russian Research Institute of Sugar Beet of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт селекции и семеноводства овощных культур Российской академии сельскохозяйственных наук;All-Russian Research Institute of Vegetable Breeding and Seed Production of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт селекции плодовых культур Российской академии сельскохозяйственных наук;All-Russian Research Institute of Fruit Crop Breeding of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сельскохозяйственного использования мелиорированных земель Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Utilization of Ameliorated Lands of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сельскохозяйственной биотехнологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Biotechnology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сельскохозяйственной микробиологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Microbiology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сельскохозяйственной радиологии и агроэкологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Radiology and Agroecology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт сои Российской академии сельскохозяйственных наук;All-Russian Soybean Research Institute of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт табака, махорки и табачных изделий Российской академии сельскохозяйственных наук;All-Russian Research Institute of Tobacco, Mahorka and Tobacco Products of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт физико-технических и радиотехнических измерений;All-Russian Research Institute of Physico-Technical and Radio-Technical Measurements
Всероссийский научно-исследовательский институт физиологии, биохимии и питания сельскохозяйственных животных Российской академии сельскохозяйственных наук;All-Russian Research Institute of Physiology, Biochemistry and Nutrition of Farm Animals of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт фитопатологии Российской академии сельскохозяйственных наук;All-Russian Research Institute of Phytopathology of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт холодильной промышленности Российской академии сельскохозяйственных наук;All-Russian Research Institute of Refrigeration Industry of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт цветоводства и субтропических культур Российской академии сельскохозяйственных наук;All-Russian Research Institute of Floriculture and Subtropical Crops of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт экономики и нормативов Российской академии сельскохозяйственных наук;All-Russian Research Institute of Economics and Norms of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт экономики сельского хозяйства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Agricultural Economics of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт экспериментальной ветеринарии имени Я.Р. Коваленко Российской академии сельскохозяйственных наук;All-Russian Research Institute of Experimental Veterinary Science named after Y.R. Kovalenko of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский институт электрификации сельского хозяйства Российской академии сельскохозяйственных наук;All-Russian Research Institute of Electrification of Agriculture of the Russian Academy of Agricultural Sciences
Всероссийский научно-исследовательский технологический институт ремонта и эксплуатации машинно-тракторного парка Российской академии сельскохозяйственных наук;All-Russian Research Technological Institute for Repair and Operation of Machine and Tractor Fleet of the Russian Academy of Agricultural Sciences
Всероссийский селекционно-технологический институт садоводства и питомниководства Российской академии сельскохозяйственных наук;All-Russian Selection and Technological Institute of Horticulture and Nursery Production of the Russian Academy of Agricultural Sciences
Высокотехнологический научно-исследовательский институт неорганических материалов имени академика А.А. Бочвара;High-Tech Research Institute of Inorganic Materials named after Academician A.A. Bochvar
